ID,Price,Age,KM,HP,CC,Weight
117,21950,8,10841,90,2000,1270
118,17900,7,1,110,1600,1105
119,19250,20,63000,90,2000,1255
120,22250,17,57313,110,2000,1275
121,18950,13,57037,110,1600,1115
122,19950,19,51099,90,2000,1255
123,16350,14,40010,110,1600,1115
124,18950,20,39115,110,1600,1130
125,16950,17,36012,110,1600,1130
126,21750,16,36000,110,1600,1130
127,15950,20,36000,110,1600,1075
128,16500,20,35000,97,1400,1110
129,17950,17,33740,97,1400,1135
130,15850,13,33477,110,1600,1075
131,16250,20,32627,97,1400,1110
132,15950,20,29797,97,1400,1110
133,16250,19,29441,97,1400,1110
134,15950,13,29371,110,1600,1105
135,16500,20,29000,97,1400,1110
136,16500,19,27821,97,1400,1110
137,18450,19,27371,97,1400,1135
138,16250,13,25170,110,1600,1105
139,23000,11,25000,116,2000,1320
140,19900,20,23000,110,1600,1130
141,16450,20,22588,97,1400,1110
142,23950,19,21684,192,1800,1185
143,19950,13,21428,110,1600,1130
144,18500,16,20629,110,1600,1090
145,18950,15,20270,110,1600,1130
146,16450,16,20105,97,1400,1110
147,20500,20,20000,110,1600,1165
148,24500,13,19988,110,1600,1130
149,19450,19,18328,110,1600,1130
150,20950,14,17896,110,1600,1150
151,17200,20,17300,97,1400,1110
152,19950,19,17038,110,1600,1130
153,18450,10,13747,97,1400,1110
154,19500,12,13634,110,1600,1115
155,21750,13,13178,110,1600,1130
156,16868,15,13157,97,1400,1085
157,19500,16,13000,110,1600,1105
158,18900,11,12500,110,1600,1115
159,19750,17,11999,110,1600,1130
160,19750,16,11754,110,1600,1180
161,18950,16,11000,110,1600,1105
162,20750,17,10000,110,1598,1105
163,19600,9,7650,110,1600,1115
164,19500,14,6500,110,1600,1100
165,17650,11,6155,97,1400,1110
166,19950,14,6000,110,1600,1130
167,19950,14,5459,110,1600,1130
168,20950,14,5278,110,1600,1150
169,20500,12,5000,110,1600,1130
170,17795,9,1,98,1400,1065
171,18245,9,1,110,1600,1075
172,23750,8,11000,110,1600,1130
173,19500,8,10077,97,1400,1110
174,18950,8,10000,97,1400,1110
175,21950,8,9788,110,1600,1130
176,19950,8,8574,110,1600,1130
177,18950,8,7000,110,1600,1115
178,19950,7,6250,110,1600,1115
179,21950,8,5000,110,1600,1130
180,22500,6,3000,110,1600,1130
181,18500,7,2000,110,1600,1075
182,18700,7,450,97,1400,1110
183,21125,2,225,97,1400,1110
184,21500,2,15,110,1600,1130
185,17795,1,1,98,1400,1100
186,18245,1,1,110,1600,1075
187,6950,43,243000,69,1900,1110
188,9500,38,180638,90,2000,1160
189,11950,40,179860,90,2000,1205
190,7750,43,178858,110,1600,1084
191,11950,40,161000,69,1900,1105
192,4350,44,158320,69,1800,1110
193,4750,44,131273,69,1800,1110
194,11750,40,130062,69,1900,1140
195,13250,41,123425,69,1900,1140
196,11950,37,118217,110,1600,1075
197,11900,44,110000,69,1900,1095
198,14750,39,108847,90,2000,1205
199,9950,42,105699,97,1400,1025
200,11950,39,98823,110,1600,1119
201,11495,44,96829,110,1600,1075
202,11250,40,96518,97,1400,1025
203,10500,42,92204,110,1600,1075
204,10450,35,91456,69,1900,1110
205,12950,43,89968,69,1900,1140
206,11500,44,89757,110,1600,1045
207,12500,40,85389,110,1600,1075
208,10950,43,85017,97,1400,1060
209,11450,41,84312,110,1600,1080
210,11950,37,82743,110,1600,1121
211,13250,41,81106,69,1900,1140
212,14750,40,80425,90,2000,1205
213,11790,34,78677,110,1600,1105
214,11450,40,78425,110,1600,1075
215,13500,33,78108,90,2000,1170
216,10950,33,77321,110,1600,1075
217,13500,33,75699,69,1900,1105
218,10950,41,75697,97,1400,1025
219,10950,44,74846,97,1400,1025
220,12950,38,74319,110,1600,1075
221,11950,43,74285,110,1600,1075
222,12450,44,74172,110,1600,1615
223,11950,40,73042,110,1598,1075
224,14950,44,71793,110,1600,1067
225,12450,35,71200,110,1600,1075
226,12950,38,67805,110,1600,1075
227,11950,35,65988,110,1600,1040
228,11690,34,65345,97,1400,1060
229,12450,42,64564,110,1600,1080
230,12750,36,63459,97,1400,1060
231,11925,44,63451,97,1400,1025
232,12950,33,62000,110,1600,1075
233,11950,42,61300,97,1400,1030
234,12900,41,61200,110,1600,1045
235,11900,41,61000,110,1600,1075
236,11650,38,60829,110,1600,1075
237,10950,44,60500,110,1600,1075
238,13950,35,59500,69,1900,1110
239,13950,44,59000,110,1600,1110
240,11950,40,58954,110,1600,1080
241,10950,38,58798,110,1600,1075
242,12450,38,58363,110,1600,1055
243,11950,43,58277,110,1600,1045
244,13500,33,57711,90,2000,1165
245,11690,33,57269,110,1600,1075
246,13500,39,56001,110,1600,1075
247,11950,42,55968,110,1600,1050
248,12900,39,55678,110,1600,1030
249,13500,43,55539,110,1600,1085
250,11750,42,55400,110,1600,1075
251,11750,33,55350,110,1600,1075
252,10850,43,54600,110,1600,1030
253,11750,43,53773,110,1600,1075
254,14950,42,53719,110,1600,1105
255,9940,39,53644,110,1600,1075
256,12900,42,53350,110,1600,1075
257,13500,38,53000,110,1600,1075
258,11750,44,52084,97,1400,1025
259,11950,44,52000,97,1400,1025
260,13450,33,51945,110,1600,1075
261,11950,41,51732,97,1400,1025
262,12495,39,50873,110,1600,1075
263,13500,41,50856,110,1600,1030
264,12750,40,50640,110,1600,1075
265,12000,39,50000,97,1400,1060
266,11950,38,49500,110,1600,1075
267,12495,44,49332,110,1600,1080
268,12450,34,49291,110,1600,1040
269,14750,40,48952,90,2000,1205
270,10950,39,48945,110,1600,1040
271,13500,33,48928,69,1900,1105
272,12950,38,48197,110,1600,1075
273,13500,35,48052,69,1900,1105
274,13450,34,48011,110,1600,1030
275,13500,43,48000,110,1600,1075
276,11480,41,47350,110,1600,1075
277,13450,39,46821,97,1400,1060
278,11495,39,46694,110,1600,1040
279,12750,43,46515,97,1400,1025
280,14990,38,46327,110,1600,1055
281,12950,35,46304,97,1400,1060
282,12950,40,45886,110,1600,1080
283,12850,39,45713,97,1400,1085
284,13950,40,45600,110,1600,1105
285,11950,41,45287,110,1600,1075
286,12950,39,45081,110,1600,1075
287,11700,40,44830,110,1600,1075
288,9950,37,44757,97,1400,1025
289,11895,44,44218,97,1400,1060
290,12950,43,43632,110,1600,1075
291,12500,36,43427,110,1600,1040
292,13875,39,43254,110,1600,1075
293,10500,35,43000,110,1600,1050
294,12295,33,42823,110,1600,1075
295,13950,42,42560,110,1600,1080
296,10950,38,41754,110,1600,1040
297,12950,44,41499,110,1600,1103
298,12850,40,41339,110,1600,1080
299,13995,35,41000,110,1600,1075
300,13750,39,40000,110,1600,1055
301,12750,37,39757,110,1600,1075
302,12500,41,39659,110,1600,1045
303,13950,43,39650,110,1600,1055
304,11500,39,39524,97,1398,1025
305,13950,44,39516,97,1400,1060
306,11895,41,39439,97,1400,1060
307,9950,44,39000,97,1400,1025
308,13500,42,38932,110,1600,1040
309,11450,37,38812,97,1400,1025
310,12450,42,38665,110,1600,1075
311,12950,40,38653,110,1600,1080
312,13995,44,38461,110,1600,1080
313,11750,42,38078,97,1400,1025
314,11650,39,37782,97,1400,1060
315,9950,43,37576,97,1400,1030
316,13950,41,37533,110,1600,1075
317,12950,44,37389,110,1600,1080
318,10950,38,37320,97,1400,1025
319,9900,42,37000,97,1400,1025
320,11950,44,37000,110,1600,1075
321,11990,40,36566,110,1600,1090
322,10750,36,36269,110,1600,1075
323,13950,37,36074,110,1600,1075
324,11250,44,36066,110,1600,1040
325,12950,39,34599,110,1600,1075
326,11950,41,34000,110,1600,1075
327,10950,42,33623,97,1400,1025
328,12950,33,33591,110,1600,1075
329,12950,35,33258,110,1600,1075
330,11695,43,33113,110,1600,1075
331,11000,41,33000,110,1600,1075
332,13950,35,32941,110,1600,1080
333,11950,38,32781,110,1600,1075
334,11750,40,32532,110,1600,1040
335,12400,34,32431,97,1400,1060
336,12500,35,32000,110,1600,1040
337,12900,33,31000,110,1600,1075
338,12200,41,30989,110,1600,1045
339,12750,43,30742,110,1600,1040
340,11950,42,30190,110,1600,1075
341,11900,41,29716,116,1600,1075
342,11950,44,29716,110,1600,1070
343,14950,42,29640,110,1600,1055
344,11950,41,29056,97,1400,1060
345,12950,33,28715,110,1600,1075
346,14950,41,28571,110,1600,1090
347,13450,40,28362,110,1600,1040
348,13750,38,28150,110,1600,1075
349,12950,43,27301,110,1600,1040
350,12750,33,27240,110,1600,1075
351,11895,39,27170,97,1400,1060
352,9950,42,27141,97,1400,1060
353,12450,38,26262,110,1600,1075
354,12500,38,26000,97,1400,1060
355,14950,43,25228,110,1600,1045
356,13750,39,25062,110,1600,1080
357,12695,39,24723,110,1600,1060
358,14990,33,24650,110,1600,1055
359,12750,43,24553,110,1600,1080
360,14350,41,24475,110,1600,1030
361,12950,39,24444,110,1600,1040
362,11500,35,24011,97,1400,1025
363,11950,41,24000,97,1400,1025
364,13450,40,23616,110,1600,1075
365,12900,38,22865,110,1600,1075
366,10500,41,22780,86,1300,1035
367,10950,35,21904,97,1400,1025
368,11950,41,21651,97,1400,1025
369,11450,37,21500,110,1600,1030
370,13250,44,21027,110,1600,1080
371,10250,39,18500,110,1600,1030
372,13995,35,18000,110,1600,1075
373,11950,40,17051,97,1400,1060
374,13250,33,16512,97,1400,1085
375,12950,40,16325,110,1600,1080
376,11750,38,16000,97,1400,1060
377,11500,39,12000,110,1600,1075
378,13500,43,10000,97,1400,1060
379,6500,53,216000,69,1900,1110
380,6400,51,198167,69,1900,1095
381,7000,53,176000,69,1900,1105
382,7750,54,174139,72,2000,1100
383,8900,45,174000,69,1900,1095
384,8500,55,150000,110,1600,1075
385,8950,54,149329,72,2000,1135
386,9900,51,146736,110,1600,1080
387,10250,53,143513,69,1900,1140
388,9250,48,142130,110,1600,1119
389,7750,48,140700,69,1900,1110
390,9450,54,138394,69,1900,1095
391,7750,55,137000,72,2000,1135
392,8250,52,135258,69,1900,1140
393,9950,49,131364,110,1600,1075
394,4450,56,129155,69,1800,1110
395,9950,50,126110,110,1600,1055
396,9000,48,119742,110,1600,1080
397,9950,53,117913,69,1900,1110
398,12450,47,117430,90,2000,1165
399,10500,55,117175,110,1600,1035
400,10750,54,115558,110,1600,1035
401,8950,53,115113,97,1400,1025
402,10500,54,115046,69,1900,1140
403,5150,56,113997,72,2000,1135
404,10950,49,107859,97,1400,1060
405,9450,52,104805,97,1400,1025
406,9950,54,103454,110,1600,1075
407,10950,51,103018,69,1900,1140
408,11900,47,102352,110,1600,1080
409,9950,50,102030,97,1400,1060
410,11950,54,101352,110,1600,1080
411,7900,50,99865,110,1600,1035
412,10950,52,99323,110,1600,1055
413,8950,48,98100,69,1900,1140
414,11950,51,98040,110,1600,1080
415,10900,49,97600,110,1600,1045
416,9950,55,97234,110,1600,1080
417,9950,51,96135,72,2000,1115
418,10950,54,96100,110,1600,1080
419,8950,55,94401,72,2000,1115
420,8950,55,94122,86,1300,1015
421,10500,49,91340,110,1600,1055
422,8950,53,90200,97,1400,1025
423,9250,53,90097,69,1900,1140
424,11500,48,89049,97,1400,1060
425,9750,52,89000,110,1600,1075
426,9950,45,87274,110,1600,1040
427,11450,49,86221,110,1600,1045
428,12500,54,84598,110,1600,1075
429,10500,50,83567,110,1600,1075
430,12950,50,83106,110,1600,1075
431,12200,50,82805,110,1600,1040
432,10950,50,82735,97,1400,1030
433,10950,54,81905,110,1600,1105
434,11290,49,80320,110,1600,1070
435,10750,49,80090,97,1400,1030
436,10895,53,79800,110,1600,1075
437,11500,47,78785,110,1600,1119
438,9750,48,78600,110,1600,1075
439,10250,55,77780,110,1600,1040
440,12500,49,77648,110,1600,1030
441,11950,54,77270,110,1600,1035
442,10750,50,76167,97,1400,1060
443,11450,46,75249,110,1600,1035
444,11950,54,75231,110,1600,1080
445,11750,48,75045,110,1600,1055
446,10950,50,74849,110,1600,1060
447,11950,55,74715,110,1600,1080
448,10995,49,74656,69,1900,1105
449,11450,56,74500,97,1400,1025
450,8900,49,74494,110,1600,1075
451,10500,50,73634,110,1587,1075
452,11750,47,73403,110,1600,1075
453,11450,49,73175,97,1400,1030
454,12000,52,73000,110,1600,1055
455,11950,50,72242,110,1600,1070
456,9850,53,72000,97,1400,1025
457,10950,54,71725,110,1600,1035
458,10950,54,71276,110,1600,1080
459,8695,50,70440,69,1900,1105
460,10990,53,70239,110,1600,1040
461,9500,55,69813,97,1400,1025
462,11950,49,69659,86,1300,1025
463,10750,46,69574,97,1400,1065
464,8750,47,69000,69,1900,1140
465,8750,49,68565,110,1600,1030
466,11450,55,68520,72,2000,1115
467,9950,46,68414,97,1400,1025
468,11950,56,66777,110,1600,1090
469,13950,52,66527,110,1600,1080
470,11250,54,66063,110,1600,1090
471,10900,50,65471,97,1400,1060
472,9750,56,65400,97,1400,1025
473,9950,52,65170,97,1400,1025
474,11950,56,65000,110,1600,1075
475,10450,48,64193,110,1600,1040
476,8950,54,64000,97,1400,1025
477,10250,54,63792,110,1600,1075
478,9930,53,63635,110,1600,1035
479,10500,54,63135,110,1600,1050
480,11950,54,63123,110,1600,1035
481,11500,48,63000,69,1900,1140
482,11500,55,63000,110,1600,1035
483,11450,54,62987,110,1600,1080
484,9900,56,62751,110,1600,1050
485,9500,54,62519,97,1400,1025
486,10500,50,62280,97,1400,1060
487,10750,50,61672,110,1600,1075
488,8950,54,61000,69,2000,1140
489,12000,56,61000,110,1600,1050
490,9940,53,60558,110,1600,1105
491,10950,47,60348,110,1600,1030
492,10750,54,60239,110,1600,1075
493,9799,51,59000,97,1400,1025
494,11750,51,58761,97,1300,1060
495,11950,54,58745,110,1600,1035
496,11250,52,58596,110,1600,1045
497,11750,54,58530,110,1600,1075
498,10950,55,58377,110,1600,1050
499,11250,56,58142,110,1600,1080
500,9950,53,57948,97,1400,1025
501,9700,51,57645,110,1600,1080
502,11950,47,57500,110,1600,1105
503,9900,53,57475,110,1600,1040
504,9990,55,56743,110,1600,1045
505,9475,48,56675,97,1400,1025
506,11500,54,55877,110,1600,1075
507,11950,53,55500,110,1600,1035
508,11500,55,54900,97,1400,1060
509,10500,50,54465,110,1600,1075
510,10900,46,53700,97,1400,1060
511,11700,52,53561,97,1400,1060
512,11900,51,53408,110,1600,1080
513,13950,51,53268,110,1600,1080
514,10950,49,53116,97,1400,1025
515,10500,56,52448,97,1400,1025
516,10750,55,52149,97,1400,1085
517,11950,55,52141,110,1600,1070
518,10000,56,52000,97,1400,1025
519,10495,48,50967,97,1400,1060
520,11450,50,50400,110,1600,1080
521,9400,54,50000,97,1400,1025
522,11950,51,50000,86,1300,1045
523,9650,53,49969,110,1600,1075
524,18950,49,49568,110,1600,1105
525,11450,51,49473,110,1600,1055
526,10250,52,49432,110,1600,1050
527,11450,48,49417,110,1600,1045
528,9950,54,49366,97,1400,1025
529,10500,56,48731,110,1600,1055
530,13750,54,48370,110,1600,1080
531,9950,48,48071,97,1400,1025
532,10250,54,47852,110,1600,1030
533,10850,54,47768,110,1600,1055
534,11895,52,47689,110,1600,1075
535,12950,53,47451,110,1600,1055
536,11950,50,47219,110,1600,1080
537,10750,56,47211,110,1600,1070
538,9550,54,46856,97,1400,1060
539,10950,56,46500,86,1300,1035
540,11750,52,46449,110,1600,1035
541,10950,47,46391,110,1600,1075
542,12450,54,46230,110,1600,1055
543,10500,52,46029,110,1600,1030
544,10900,50,46000,97,1400,1025
545,12950,50,45900,110,1600,1075
546,10950,47,45850,97,1400,1060
547,12500,56,45336,110,1600,1080
548,9950,55,44537,97,1400,1025
549,10750,56,43700,86,1300,1025
550,12500,48,43120,97,1400,1030
551,10450,49,41710,110,1600,1040
552,10750,52,41700,97,1400,1025
553,12950,49,41636,110,1600,1105
554,10995,50,41273,97,1400,1060
555,11950,49,40836,110,1600,1075
556,11250,50,40400,97,1400,1060
557,11950,47,40361,110,1600,1090
558,13750,54,40325,86,1300,1045
559,11000,47,40000,110,1600,1080
560,13500,50,39706,110,1600,1080
561,10950,54,39291,110,1600,1040
562,10750,54,39000,97,1400,1025
563,8950,47,38900,97,1400,1025
564,12950,51,38403,110,1600,1055
565,9750,56,37461,97,1400,1025
566,10900,54,37000,97,1400,1025
567,10995,55,36406,110,1600,1035
568,10750,48,36005,97,1400,1065
569,10950,52,36000,110,1600,1075
570,13000,49,36000,110,1600,1080
571,12950,45,36000,110,1600,1070
572,11500,52,35823,110,1600,1075
573,10950,56,35230,97,1400,1025
574,11710,48,35142,110,1600,1055
575,9980,49,34890,97,1400,1025
576,12250,51,34882,110,1600,1075
577,11500,46,34000,110,1600,1075
578,11950,56,33998,110,1600,1080
579,11500,55,33230,110,1600,1050
580,11900,46,33021,110,1600,1080
581,11930,49,31999,97,1400,1030
582,10500,52,31579,97,1400,1025
583,8950,56,31000,97,1400,1025
584,10450,46,30806,97,1400,1060
585,10500,55,30461,86,1300,1050
586,12950,50,29686,110,1600,1075
587,9950,55,29650,86,1300,1025
588,12900,52,29500,110,1600,1055
589,9950,48,28656,97,1400,1085
590,9950,55,27500,97,1400,1025
591,10950,48,26938,110,1600,1040
592,10950,53,26624,97,1400,1060
593,9950,47,26221,97,1400,1025
594,10950,50,22648,97,1400,1060
595,10800,50,22500,97,1400,1025
596,10500,56,19313,97,1400,1025
597,10450,50,17619,110,1600,1030
598,10600,51,17069,97,1400,1025
599,10450,48,15000,97,1400,1025
600,12950,50,10210,97,1400,1065
601,11250,47,5309,110,1600,1070
602,7500,50,1,90,2000,1260
603,8950,52,31000,97,1398,1025
604,6950,58,205000,72,2000,1100
605,7900,68,204250,72,2000,1115
606,5950,68,194545,86,1300,1000
607,7500,59,190900,72,2000,1115
608,7500,62,183500,72,2000,1140
609,6900,65,176184,72,2000,1115
610,5751,67,174833,72,2000,1100
611,6950,68,155720,86,1300,1015
612,7950,67,155500,110,1600,1050
613,7750,59,154783,72,2000,1120
614,7950,64,154462,72,2000,1135
615,8250,64,150585,110,1600,1065
616,6250,67,149000,90,2000,1135
617,9500,62,147636,72,2000,1135
618,6900,59,144521,72,2000,1135
619,8450,64,144000,110,1600,1065
620,7350,65,140168,72,2000,1115
621,8950,68,140000,110,1600,1085
622,6900,60,139800,72,2000,1115
623,8950,59,137050,110,1600,1078
624,8750,61,136956,110,1600,1065
625,7950,67,135337,110,1600,1120
626,8950,64,133769,72,2000,1120
627,8950,58,133405,72,2000,1135
628,8950,65,132807,72,2000,1135
629,7950,64,132393,72,2000,1135
630,7750,60,130270,110,1600,1050
631,7500,59,130000,72,2000,1135
632,8950,67,127000,72,2000,1135
633,9800,67,126800,72,2000,1135
634,9450,66,126452,110,1600,1085
635,8950,62,125175,116,2000,1150
636,8750,68,125000,72,2000,1115
637,10500,61,123000,72,2000,1135
638,7995,59,121626,86,1300,1050
639,10450,64,120400,110,1600,1090
640,9950,66,120000,72,2000,1100
641,9950,68,119541,110,1600,1055
642,8950,68,119500,110,1600,1070
643,7950,68,119289,110,1600,1035
644,10950,57,118833,110,1600,1065
645,9950,64,118000,72,2000,1150
646,8600,68,117955,110,1600,1065
647,7250,65,117609,86,1300,1015
648,6950,68,117000,72,2000,1115
649,8000,64,116000,86,1300,1045
650,9950,58,115715,110,1600,1070
651,9450,60,115191,110,1600,1079
652,7950,68,115071,110,1600,1055
653,9450,63,115000,110,1600,1109
654,9950,64,114846,110,1600,1075
655,6950,65,114383,90,2000,1260
656,8250,59,113700,110,1600,1065
657,9950,67,113118,86,1300,1020
658,8250,59,112827,86,1300,1040
659,9950,68,112116,110,1600,1070
660,10500,66,112000,110,1600,1065
661,7950,62,112000,72,2000,1135
662,9750,65,111769,110,1600,1065
663,9250,61,110853,110,1600,1070
664,9500,68,110287,110,1600,1050
665,9950,62,109547,110,1600,1075
666,7750,63,109230,110,1600,1050
667,9500,68,109150,110,1600,1075
668,9950,67,108793,110,1600,1035
669,9750,64,106784,110,1600,1050
670,9750,58,105942,86,1300,1040
671,5950,59,105000,86,1300,1015
672,8500,62,105000,86,1300,1040
673,8495,68,104299,110,1600,1085
674,9250,67,104000,86,1300,1020
675,6900,68,104000,86,1300,1015
676,8950,58,103458,86,1300,1025
677,9500,63,103400,110,1600,1075
678,9250,63,102807,86,1300,1055
679,9895,68,102494,110,1600,1090
680,9950,57,102300,72,2000,1135
681,7950,61,102106,110,1600,1050
682,8750,68,101889,110,1600,1075
683,8250,57,101791,72,2000,1115
684,8950,63,101469,110,1600,1065
685,8950,68,101001,110,1600,1075
686,8950,61,100748,110,1600,1070
687,8950,65,100550,110,1600,1075
688,9450,67,99781,110,1600,1085
689,8950,59,98658,86,1300,1020
690,9250,65,98500,110,1600,1075
691,8750,64,98291,86,1300,1000
692,9950,61,97648,110,1600,1065
693,9950,61,97425,110,1600,1075
694,9900,65,97173,86,1300,1015
695,8950,66,97046,86,1300,1000
696,8950,67,96000,110,1600,1050
697,12250,60,96000,72,2000,1100
698,9250,67,95750,110,1600,1070
699,10250,61,95147,110,1600,1050
700,8950,68,95000,110,1600,1050
701,7999,65,95000,110,1600,1050
702,9900,66,94606,110,1600,1065
703,8250,63,94504,86,1300,1000
704,10500,65,93428,110,1600,1075
705,8450,65,93408,86,1300,1015
706,9900,68,93296,110,1600,1090
707,10500,62,93098,110,1600,1075
708,8500,67,92922,72,2000,1100
709,9500,61,92498,110,1600,1050
710,9450,65,92226,110,1600,1065
711,9900,68,91505,72,2000,1115
712,8250,64,91333,110,1600,1050
713,8750,65,91246,86,1300,1015
714,9500,58,91000,110,1600,1075
715,8450,68,90727,110,1600,1050
716,8490,62,90000,110,1600,1050
717,8750,60,89576,110,1600,1035
718,9750,64,89145,86,1300,1025
719,9950,63,89000,110,1600,1085
720,8500,68,88807,110,1600,1050
721,8450,63,88685,110,1600,1070
722,7900,62,88667,110,1600,1040
723,8750,57,88480,110,1600,1050
724,7950,61,88127,86,1300,1015
725,6900,62,88000,86,1300,1020
726,8150,65,87821,86,1300,1015
727,10995,59,87654,86,1300,1065
728,8900,59,86888,110,1600,1050
729,9500,59,86871,86,1300,1040
730,8950,68,86714,110,1600,1035
731,11500,65,85889,110,1600,1065
732,10450,62,85000,110,1600,1050
733,10500,60,85000,86,1300,1025
734,9250,68,84976,110,1600,1035
735,10950,65,84558,110,1600,1120
736,10450,62,84549,110,1600,1075
737,9250,68,84482,110,1600,1075
738,8750,62,83908,110,1600,1070
739,8750,67,83560,86,1300,1015
740,9800,68,83000,107,1600,1100
741,8250,64,82723,86,1300,1015
742,10450,62,82421,110,1600,1065
743,9750,58,82254,110,1600,1050
744,8950,61,82115,110,1600,1055
745,7450,65,82000,86,1300,1015
746,8450,68,81965,86,1300,1035
747,8250,66,81250,110,1600,1050
748,10950,65,81192,110,1600,1065
749,8950,61,81170,110,1600,1040
750,8750,66,81083,86,1300,1015
751,10450,61,80714,110,1600,1075
752,10950,57,80470,110,1600,1085
753,8450,65,80439,110,1600,1035
754,9950,59,80430,110,1600,1065
755,9950,68,80426,110,1600,1055
756,8750,62,80265,86,1300,1015
757,9950,65,80153,110,1600,1070
758,9500,68,80121,110,1600,1070
759,8250,65,80086,110,1600,1035
760,10950,62,80000,110,1600,1075
761,7950,60,80000,86,1300,1015
762,8250,65,80000,86,1300,1015
763,9895,67,79858,110,1600,1040
764,9130,67,79762,86,1300,1015
765,10950,59,79660,86,1300,1065
766,10500,60,79150,110,1600,1075
767,8900,61,79000,110,1600,1050
768,9500,57,78955,86,1300,1045
769,10950,59,78750,90,1975,1155
770,7950,68,78521,86,1300,1015
771,7950,64,78356,86,1300,1015
772,7950,65,78076,86,1300,1015
773,9500,61,78063,107,1600,1100
774,10950,67,77821,110,1600,1075
775,9750,68,77695,110,1600,1035
