MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Target,Xgrp
2.6154,44.0,5.156498674,1.214854111,981.0,2.602122016,1.932,1.0
6.1064,33.0,6.233817701,1.001321004,1980.0,2.615587847,4.05,1.0
3.8661,6.0,5.924432082,1.131664349,6085.0,2.821047752,1.681,1.0
2.9821,35.0,5.570895522,1.037313433,729.0,2.720149254,0.974,1.0
2.1731,29.0,5.086956522,1.00310559,942.0,2.925465839,0.662,1.0
4.5,16.0,4.895915679,1.20685112,1551.0,2.043478261,3.236,1.0
11.1978,32.0,7.27034358,1.03164557,2768.0,2.502712477,5.00001,1.0
2.4786,14.0,4.371014493,1.005797101,1679.0,4.866666667,0.56,1.0
4.2926,32.0,5.407079646,1.102654867,1902.0,3.366371681,1.907,1.0
4.9234,25.0,5.824561404,0.916666667,691.0,3.030701754,2.414,1.0
6.3191,25.0,7.990338164,1.016908213,1201.0,2.900966184,3.034,1.0
2.4861,15.0,5.467924528,1.045283019,649.0,2.449056604,0.863,1.0
2.9107,7.0,5.545454545,1.098484848,431.0,3.265151515,0.953,1.0
2.2875,37.0,5.257142857,1.057142857,339.0,2.421428571,0.799,1.0
2.625,31.0,4.416666667,0.93452381,1163.0,3.461309524,0.721,1.0
3.1719,8.0,6.979220779,1.285714286,5087.0,13.21298701,1.154,1.0
3.55,20.0,4.777777778,1.013888889,575.0,3.993055556,1.11,1.0
2.1265,32.0,4.436314363,1.111111111,2050.0,2.777777778,0.557,1.0
6.0274,36.0,6.20754717,1.026954178,862.0,2.323450135,3.49,1.0
6.5635,10.0,6.982708934,1.025936599,1213.0,3.495677233,3.469,1.0
2.314,42.0,4.265582656,1.01897019,844.0,2.287262873,1.694,1.0
15.0001,52.0,8.0,1.0,13.0,13.0,5.00001,1.0
2.0625,39.0,5.837528604,1.102974828,1181.0,2.702517162,0.634,1.0
2.4012,5.0,5.766633565,1.173783515,2602.0,2.583912612,1.594,1.0
1.7875,24.0,3.533527697,1.067055394,1202.0,3.504373178,0.768,1.0
1.3844,29.0,3.45646438,0.960422164,1009.0,2.662269129,1.775,1.0
2.6979,33.0,4.075242718,0.980582524,933.0,2.264563107,2.66,1.0
2.825,39.0,4.530898876,1.06741573,1113.0,3.126404494,2.767,1.0
2.6908,24.0,5.85520362,1.004524887,684.0,3.095022624,1.031,1.0
2.712,21.0,16.68874172,3.854304636,416.0,2.754966887,0.89,1.0
2.567,21.0,5.091935484,1.027419355,2268.0,3.658064516,0.704,1.0
2.75,24.0,3.529107374,1.093143596,2023.0,2.617076326,2.397,1.0
3.8239,34.0,5.242703533,1.064516129,2223.0,3.414746544,2.082,1.0
6.0332,19.0,7.062962963,1.196296296,681.0,2.522222222,2.449,1.0
5.549,49.0,7.0,1.038194444,691.0,2.399305556,5.00001,1.0
2.6165,52.0,5.174418605,1.069767442,1145.0,2.662790698,1.5,1.0
4.515,15.0,6.379061372,1.06377858,2335.0,2.809867629,1.64,1.0
3.025,24.0,5.540443808,1.101646385,4333.0,3.101646385,0.879,1.0
3.5802,5.0,5.089689266,1.05190678,7608.0,2.686440678,1.296,1.0
6.9741,16.0,6.767624021,0.971279373,1279.0,3.339425587,2.62,1.0
8.9172,34.0,7.107784431,0.992015968,1336.0,2.666666667,5.00001,1.0
1.685,44.0,4.168181818,1.018181818,666.0,3.027272727,1.142,1.0
1.755,47.0,4.516717325,1.018237082,765.0,2.325227964,0.741,1.0
3.3214,52.0,4.825,1.11875,409.0,2.55625,1.896,1.0
2.9911,23.0,5.434108527,1.062015504,1019.0,2.633074935,1.197,1.0
3.6111,48.0,7.297297297,1.486486486,234.0,3.162162162,0.675,1.0
3.2147,7.0,5.398239824,1.182618262,2014.0,2.215621562,1.119,1.0
4.8516,52.0,5.350961538,0.925480769,1177.0,2.829326923,3.238,1.0
3.9196,25.0,7.214477212,1.603217158,964.0,2.584450402,1.427,1.0
6.8226,26.0,7.977678571,1.013392857,639.0,2.852678571,3.298,1.0
8.289,25.0,6.788679245,0.879245283,810.0,3.056603774,3.724,1.0
4.5486,52.0,6.884057971,1.050724638,665.0,2.40942029,5.00001,1.0
10.7958,25.0,7.950089127,0.98573975,1608.0,2.86631016,5.00001,1.0
5.753,5.0,6.386243386,1.114638448,1546.0,2.726631393,3.228,1.0
3.7092,17.0,5.141287284,0.940345369,2422.0,3.802197802,1.905,1.0
8.7783,14.0,7.867109635,0.986710963,796.0,2.644518272,4.35,1.0
3.9028,25.0,5.470967742,0.987096774,436.0,2.812903226,0.938,1.0
2.1154,28.0,5.121568627,1.094117647,885.0,3.470588235,0.753,1.0
3.6378,17.0,5.432075472,1.022641509,1802.0,3.4,1.261,1.0
0.7069,29.0,3.093457944,0.794392523,341.0,3.186915888,0.703,1.0
4.7083,33.0,5.354901961,1.049019608,1280.0,2.509803922,4.201,1.0
4.4653,33.0,5.872909699,1.056856187,1971.0,3.295986622,1.932,1.0
1.6705,12.0,3.147208122,1.088832487,1441.0,1.828680203,3.5,1.0
4.5486,32.0,5.525525526,0.927927928,828.0,2.486486486,1.724,1.0
2.7059,19.0,3.804878049,1.088414634,1214.0,3.701219512,1.598,1.0
4.119,18.0,5.843575419,1.139664804,486.0,2.715083799,1.109,1.0
3.9219,15.0,4.466666667,1.044444444,677.0,2.507407407,1.426,1.0
3.2425,45.0,4.678474114,1.059945504,916.0,2.495912807,1.388,1.0
1.8315,28.0,4.510204082,1.079081633,1066.0,2.719387755,0.905,1.0
4.21,11.0,5.164912281,0.915789474,1012.0,3.550877193,1.756,1.0
3.4087,45.0,4.679487179,1.012820513,672.0,2.871794872,2.092,1.0
3.3182,35.0,3.904761905,0.789115646,610.0,4.149659864,1.333,1.0
3.668,19.0,4.544658494,1.087565674,1728.0,3.026269702,2.438,1.0
2.0458,18.0,5.047727273,1.043181818,952.0,2.163636364,1.057,1.0
4.3687,33.0,5.703862661,1.141630901,683.0,2.931330472,1.287,1.0
0.4999,10.0,6.74,2.04,108.0,2.16,0.55,1.0
5.2362,49.0,6.212443096,0.962063733,1363.0,2.068285281,2.368,1.0
3.7188,27.0,5.048611111,0.944444444,467.0,3.243055556,2.5,1.0
4.6583,30.0,5.27427598,1.069846678,1676.0,2.855195911,2.073,1.0
2.1474,21.0,4.965156794,1.12543554,727.0,2.533101045,0.853,1.0
2.2754,23.0,5.129852744,1.036144578,2435.0,3.259705489,0.592,1.0
3.1189,43.0,5.055865922,0.997206704,1335.0,3.729050279,1.188,1.0
3.1325,27.0,4.37808642,1.055555556,2141.0,3.304012346,2.15,1.0
4.6484,25.0,4.813211845,0.961275626,1365.0,3.109339408,2.346,1.0
5.943,35.0,6.94047619,1.047619048,235.0,2.797619048,2.882,1.0
2.0284,35.0,5.325088339,1.106007067,868.0,3.067137809,0.963,1.0
1.5,32.0,4.950943396,1.188679245,600.0,2.264150943,0.915,1.0
2.8378,25.0,4.099778271,1.148558758,1498.0,3.321507761,1.7,1.0
4.875,26.0,5.429118774,1.011494253,817.0,3.130268199,2.304,1.0
2.5652,17.0,3.16080402,1.112227806,1906.0,3.192629816,1.653,1.0
3.3929,39.0,4.274011299,1.031073446,1227.0,3.466101695,1.846,1.0
7.1687,22.0,7.615720524,0.986899563,1479.0,3.229257642,3.844,1.0
3.5893,48.0,5.625954198,1.267175573,462.0,3.526717557,2.125,1.0
2.9297,28.0,4.69955157,1.137518685,1737.0,2.596412556,1.405,1.0
3.1786,34.0,2.890756303,0.907563025,315.0,2.647058824,1.178,1.0
3.125,25.0,4.15615142,1.041009464,1710.0,2.697160883,2.15,1.0
3.1475,28.0,4.393728223,1.073170732,991.0,1.726480836,3.625,1.0
2.5417,50.0,6.473087819,1.141643059,837.0,2.371104816,0.854,1.0
6.005,30.0,6.657794677,1.022813688,731.0,2.779467681,2.639,1.0
5.756,16.0,6.117493473,1.026109661,2007.0,5.240208877,3.027,1.0
4.4762,30.0,6.247685185,1.071759259,2672.0,3.092592593,1.639,1.0
1.2455,41.0,4.065217391,1.086956522,1805.0,3.567193676,1.008,1.0
4.4954,34.0,5.38832998,1.028169014,1540.0,3.098591549,2.029,1.0
2.0639,36.0,4.620418848,1.146596859,1008.0,2.638743455,0.73,1.0
3.0382,23.0,4.019723866,1.067061144,4088.0,2.687705457,1.836,1.0
2.5568,32.0,3.731934732,1.090909091,731.0,1.703962704,2.583,1.0
8.317,32.0,6.977186312,1.003802281,635.0,2.414448669,3.659,1.0
2.7437,18.0,5.535776614,1.102966841,1621.0,2.828970332,1.202,1.0
4.6827,19.0,5.103286385,1.0657277,998.0,2.342723005,2.551,1.0
2.8608,30.0,3.641340782,1.052513966,2744.0,3.065921788,1.656,1.0
4.1482,7.0,5.674956622,1.106998265,5595.0,3.235974552,1.246,1.0
2.3289,17.0,5.772058824,1.139705882,417.0,3.066176471,0.582,1.0
2.2401,24.0,4.873345936,1.096408318,1217.0,2.300567108,2.125,1.0
4.7283,11.0,5.421348315,0.981273408,1633.0,3.058052434,1.702,1.0
9.0702,43.0,7.335051546,1.015463918,1467.0,2.520618557,5.00001,1.0
4.1378,24.0,4.582306831,1.0,2819.0,3.156774916,2.165,1.0
3.5664,19.0,5.030821918,0.941780822,1010.0,3.45890411,1.504,1.0
10.9601,24.0,8.321808511,1.333776596,1730.0,2.300531915,5.00001,1.0
5.5357,40.0,6.150442478,0.970501475,796.0,2.348082596,2.737,1.0
2.0357,39.0,5.003225806,1.138709677,684.0,2.206451613,0.576,1.0
4.3214,28.0,6.414686825,1.017278618,1379.0,2.978401728,1.317,1.0
5.411,33.0,5.890909091,1.029090909,868.0,3.156363636,2.194,1.0
2.75,41.0,5.666666667,1.072607261,855.0,2.821782178,1.273,1.0
2.9646,26.0,4.285163776,1.11046885,3333.0,2.140655106,1.798,1.0
1.9355,10.0,5.136554622,1.105042017,1262.0,2.651260504,0.683,1.0
6.0873,19.0,6.586142322,1.066479401,2824.0,2.644194757,2.773,1.0
6.4789,15.0,7.909230769,1.025384615,3868.0,2.975384615,2.878,1.0
4.3807,23.0,4.922137405,0.995419847,2183.0,3.332824427,2.269,1.0
2.25,36.0,3.25,0.972222222,834.0,3.861111111,1.625,1.0
1.5491,20.0,1.64,0.68,87.0,3.48,2.25,1.0
6.6131,17.0,7.358344114,1.065976714,2111.0,2.730918499,3.125,1.0
3.6467,36.0,4.409090909,1.102272727,867.0,2.463068182,3.467,1.0
6.8927,31.0,6.634551495,0.993355482,826.0,2.744186047,5.00001,1.0
5.0457,34.0,6.328787879,1.095454545,1586.0,2.403030303,3.951,1.0
2.7268,30.0,4.196907216,1.1,2144.0,2.210309278,2.181,1.0
4.25,1.0,20.125,2.928571429,402.0,3.589285714,1.892,1.0
1.9392,27.0,3.43373494,1.046686747,1235.0,1.859939759,1.429,1.0
4.9583,10.0,5.0625,2.5625,55.0,3.4375,0.875,1.0
2.2321,46.0,4.927272727,1.345454545,150.0,2.727272727,2.375,1.0
5.1377,34.0,6.113924051,0.996835443,1053.0,3.332278481,2.133,1.0
7.7112,42.0,5.59375,1.004464286,492.0,2.196428571,3.867,1.0
5.2452,18.0,6.923990499,0.992874109,1340.0,3.182897862,2.049,1.0
3.8257,13.0,5.584026622,0.980033278,1458.0,2.425956739,0.942,1.0
11.2185,52.0,8.300835655,1.019498607,967.0,2.693593315,5.00001,1.0
2.2273,43.0,4.866972477,1.201834862,1510.0,3.463302752,1.233,1.0
2.7352,46.0,3.934973638,0.892794376,1390.0,2.44288225,1.373,1.0
4.0547,14.0,5.45,1.101612903,1465.0,2.362903226,2.362,1.0
1.9274,49.0,5.068783069,1.182539683,863.0,2.283068783,1.223,1.0
4.625,36.0,5.479591837,0.959183673,496.0,2.530612245,2.174,1.0
1.6136,27.0,2.719512195,0.975609756,249.0,3.036585366,1.375,1.0
8.0082,16.0,7.790528233,1.029143898,1642.0,2.990892532,2.866,1.0
4.1528,15.0,7.389355742,1.201680672,1289.0,3.610644258,3.368,1.0
2.881,26.0,8.933209647,1.688311688,1341.0,2.487940631,0.798,1.0
4.3472,47.0,6.047619048,1.095238095,51.0,2.428571429,3.75,1.0
5.0747,35.0,4.944723618,0.899497487,661.0,3.32160804,1.896,1.0
2.2883,33.0,3.978747204,1.0,2659.0,2.974272931,0.869,1.0
5.0424,45.0,5.540350877,0.975438596,687.0,2.410526316,2.259,1.0
2.7829,24.0,4.204678363,1.026315789,1294.0,3.783625731,0.618,1.0
3.0521,36.0,3.769547325,1.109053498,934.0,1.9218107,2.766,1.0
2.5313,42.0,3.913461538,1.038461538,773.0,3.716346154,1.569,1.0
3.3958,39.0,5.00621118,1.062111801,912.0,2.832298137,1.419,1.0
1.4492,29.0,3.781779661,1.019067797,1344.0,2.847457627,2.229,1.0
5.4011,15.0,5.385744235,1.70230608,785.0,1.645702306,3.464,1.0
1.6955,29.0,3.223097113,1.138232721,3891.0,3.404199475,1.797,1.0
3.1129,42.0,4.73258427,1.197752809,1141.0,2.564044944,1.493,1.0
2.4922,23.0,4.764705882,1.041745731,1052.0,1.996204934,1.92,1.0
4.375,36.0,4.896373057,1.03626943,1232.0,3.191709845,1.842,1.0
7.1831,18.0,5.572413793,0.937931034,420.0,2.896551724,2.733,1.0
3.2798,45.0,5.173387097,1.02016129,1025.0,4.133064516,1.412,1.0
2.5202,52.0,4.64469914,1.126074499,635.0,1.819484241,2.44,1.0
4.125,52.0,3.125,0.5625,60.0,3.75,2.625,1.0
1.3042,45.0,3.953379953,0.988344988,1502.0,3.501165501,0.992,1.0
1.918,44.0,3.517857143,1.110119048,3184.0,4.738095238,1.475,1.0
4.4477,4.0,5.752631579,1.025263158,2844.0,2.993684211,1.748,1.0
3.2375,36.0,5.058181818,1.029090909,1025.0,3.727272727,1.768,1.0
4.9904,36.0,6.004366812,1.063318777,1386.0,3.026200873,2.217,1.0
3.0667,19.0,5.357495881,1.011532125,1971.0,3.247116969,0.758,1.0
3.5625,34.0,3.948186528,0.943005181,611.0,3.165803109,2.018,1.0
3.1768,30.0,5.468048359,1.04835924,1857.0,3.207253886,0.795,1.0
6.8586,21.0,6.876623377,0.974025974,400.0,2.597402597,3.431,1.0
3.3632,33.0,4.553003534,1.042402827,1867.0,3.298586572,2.651,1.0
7.2861,24.0,6.206451613,0.941935484,492.0,3.174193548,3.28,1.0
4.6069,7.0,5.609195402,0.998563218,3551.0,2.551005747,2.023,1.0
2.3542,39.0,3.86163522,1.094339623,538.0,3.383647799,2.357,1.0
1.9417,20.0,4.950207469,1.091286307,1274.0,5.286307054,0.388,1.0
6.3017,16.0,5.704491726,1.321513002,656.0,1.550827423,3.5,1.0
2.5588,35.0,3.258928571,0.875,463.0,4.133928571,0.788,1.0
1.9655,40.0,4.4784689,1.108452951,2357.0,3.759170654,1.023,1.0
3.8081,25.0,5.183716075,1.183716075,1941.0,2.026096033,2.867,1.0
3.1713,42.0,4.642714571,1.003992016,1832.0,3.656686627,1.61,1.0
2.5329,31.0,4.055639098,1.037593985,2220.0,3.338345865,1.352,1.0
5.1442,6.0,6.147197839,1.03646185,3759.0,2.538149899,1.745,1.0
5.5677,16.0,6.271966527,0.970711297,918.0,3.841004184,1.754,1.0
5.5284,37.0,5.463601533,0.992337165,689.0,2.639846743,3.31,1.0
5.5073,16.0,5.172535211,1.036971831,1718.0,3.024647887,1.789,1.0
4.3375,31.0,6.240121581,1.021276596,867.0,2.635258359,2.418,1.0
1.3329,40.0,4.28021978,1.020879121,1782.0,1.958241758,0.782,1.0
3.358,26.0,4.253475936,1.122994652,1720.0,1.839572193,3.645,1.0
4.0977,48.0,5.242063492,1.043650794,506.0,2.007936508,2.297,1.0
5.7762,45.0,5.572695035,0.980496454,1153.0,2.044326241,5.00001,1.0
2.1538,17.0,5.341836735,1.081632653,530.0,2.704081633,1.533,1.0
6.6453,25.0,6.618249534,0.983240223,1600.0,2.979515829,2.701,1.0
2.9185,27.0,4.408878505,1.137850467,1339.0,3.128504673,2.245,1.0
10.2292,26.0,8.043754972,1.030230708,3599.0,2.863166269,5.00001,1.0
7.5975,16.0,7.116147309,1.008498584,795.0,2.252124646,3.691,1.0
3.5172,35.0,5.023880597,1.035820896,1242.0,3.707462687,1.904,1.0
2.3818,17.0,6.843902439,1.463414634,990.0,2.414634146,0.881,1.0
3.8958,6.0,4.267015707,1.029668412,1189.0,2.07504363,3.011,1.0
1.6406,22.0,1.885057471,1.030651341,634.0,2.429118774,3.0,1.0
4.4063,20.0,5.900560224,1.051820728,2071.0,2.900560224,1.308,1.0
3.5772,36.0,5.486590038,1.01532567,749.0,2.869731801,2.074,1.0
5.5924,42.0,5.562146893,0.997175141,927.0,2.618644068,2.853,1.0
2.6098,13.0,5.042553191,1.10453284,2957.0,2.735430157,1.625,1.0
3.1071,40.0,4.915354331,1.023622047,1275.0,2.50984252,1.931,1.0
9.0704,36.0,7.252272727,0.977272727,1234.0,2.804545455,5.00001,1.0
4.7778,52.0,5.269360269,1.060606061,637.0,2.144781145,3.518,1.0
2.0893,20.0,3.746067416,1.053932584,1292.0,2.903370787,1.011,1.0
3.8038,22.0,4.574324324,1.07347973,2260.0,1.908783784,1.745,1.0
3.1403,30.0,3.541755889,0.929336188,1843.0,3.946466809,1.53,1.0
3.5569,19.0,7.11255814,1.505116279,2496.0,2.321860465,1.28,1.0
3.733,23.0,5.784552846,1.048780488,1526.0,3.101626016,1.635,1.0
1.1607,50.0,4.038461538,1.107692308,485.0,1.865384615,0.517,1.0
5.3169,34.0,3.838383838,0.878787879,723.0,3.651515152,2.276,1.0
3.3542,44.0,5.721518987,1.113924051,358.0,2.265822785,3.442,1.0
3.1,17.0,4.846511628,0.976744186,650.0,3.023255814,0.842,1.0
5.9806,15.0,6.094594595,1.14527027,673.0,2.273648649,3.705,1.0
1.8214,34.0,2.664516129,1.082580645,2626.0,3.388387097,2.111,1.0
2.875,30.0,4.421686747,1.142168675,934.0,2.25060241,1.396,1.0
4.25,40.0,5.30259366,1.031700288,1218.0,3.510086455,1.779,1.0
5.2563,17.0,10.32116788,1.846715328,673.0,2.45620438,1.441,1.0
2.0205,33.0,3.053791887,1.031746032,1845.0,1.626984127,2.438,1.0
3.756,31.0,4.977622378,1.026573427,2975.0,4.160839161,1.833,1.0
