ID,FuelType,TransmissionType,Doors
136.0,Petrol,Manual,5doors
137.0,Petrol,Manual,5doors
138.0,Petrol,Manual,2doors
139.0,Diesel,Manual,2doors
140.0,Petrol,Manual,5doors
141.0,Petrol,Manual,5doors
142.0,Petrol,Manual,5doors
144.0,Petrol,Manual,2doors
145.0,Petrol,Manual,5doors
146.0,Petrol,Manual,5doors
147.0,Petrol,Automatic,5doors
148.0,Petrol,Manual,2doors
150.0,Petrol,Automatic,5doors
151.0,Petrol,Manual,5doors
152.0,Petrol,Manual,5doors
153.0,Petrol,Manual,2doors
154.0,Petrol,Manual,2doors
157.0,Petrol,Manual,5doors
158.0,Petrol,Manual,2doors
159.0,Petrol,Manual,2doors
161.0,Petrol,Manual,5doors
162.0,Petrol,Manual,5doors
164.0,Petrol,Manual,2doors
165.0,Petrol,Manual,5doors
166.0,Petrol,Manual,5doors
168.0,Petrol,Automatic,2doors
170.0,Petrol,Manual,5doors
171.0,Petrol,Manual,5doors
172.0,Petrol,Manual,5doors
173.0,Petrol,Manual,2doors
174.0,Petrol,Manual,2doors
175.0,Petrol,Manual,5doors
176.0,Petrol,Manual,5doors
177.0,Petrol,Manual,5doors
178.0,Petrol,Manual,2doors
179.0,Petrol,Manual,2doors
180.0,Petrol,Manual,5doors
181.0,Petrol,Manual,5doors
182.0,Petrol,Manual,5doors
183.0,Petrol,Manual,2doors
185.0,Petrol,Manual,5doors
188.0,Diesel,Manual,2doors
191.0,Diesel,Manual,5doors
192.0,Diesel,Manual,5doors
193.0,Diesel,Manual,2doors
194.0,Diesel,Manual,2doors
195.0,Diesel,Manual,5doors
196.0,Petrol,Manual,5doors
197.0,Diesel,Manual,5doors
199.0,Petrol,Manual,2doors
200.0,CNG,Manual,5doors
202.0,Petrol,Manual,5doors
204.0,Diesel,Manual,2doors
206.0,Petrol,Manual,5doors
207.0,Petrol,Manual,5doors
208.0,,Manual,2doors
209.0,Petrol,Manual,2doors
210.0,CNG,Manual,5doors
211.0,Diesel,Manual,5doors
212.0,Diesel,Manual,5doors
213.0,Petrol,Automatic,2doors
215.0,Diesel,Manual,5doors
219.0,Petrol,Manual,2doors
220.0,Petrol,Manual,5doors
221.0,Petrol,Manual,5doors
222.0,Petrol,Manual,5doors
224.0,CNG,Manual,2doors
225.0,Petrol,Manual,5doors
227.0,Petrol,Manual,5doors
228.0,Petrol,Manual,2doors
229.0,Petrol,Manual,2doors
231.0,Petrol,Manual,5doors
234.0,Petrol,Manual,2doors
235.0,Petrol,Manual,5doors
236.0,Petrol,Manual,5doors
238.0,Diesel,Manual,2doors
239.0,Petrol,Automatic,2doors
240.0,Petrol,Manual,5doors
244.0,Diesel,Manual,2doors
245.0,Petrol,Manual,5doors
248.0,Petrol,Manual,2doors
249.0,Petrol,Manual,2doors
250.0,Petrol,Manual,5doors
252.0,Petrol,Manual,5doors
253.0,Petrol,Manual,2doors
254.0,Petrol,Automatic,2doors
255.0,Petrol,Manual,5doors
256.0,Petrol,Manual,5doors
259.0,Petrol,Manual,2doors
261.0,Petrol,Manual,5doors
263.0,Petrol,Manual,2doors
264.0,Petrol,Manual,2doors
265.0,Petrol,Manual,5doors
266.0,Petrol,Manual,5doors
268.0,Petrol,Manual,2doors
271.0,Diesel,Manual,5doors
274.0,Petrol,Manual,2doors
275.0,Petrol,Manual,5doors
276.0,Petrol,Manual,5doors
278.0,Petrol,Manual,2doors
280.0,Petrol,Manual,5doors
281.0,Petrol,Manual,5doors
282.0,Petrol,Manual,5doors
283.0,Petrol,Manual,2doors
284.0,Petrol,Automatic,2doors
285.0,Petrol,Manual,5doors
286.0,Petrol,Manual,5doors
288.0,Petrol,Manual,2doors
289.0,Petrol,Manual,2doors
291.0,Petrol,Manual,5doors
293.0,Petrol,Manual,2doors
294.0,Petrol,Manual,2doors
296.0,Petrol,Manual,5doors
297.0,CNG,Manual,5doors
298.0,Petrol,Manual,2doors
300.0,Petrol,Manual,5doors
304.0,Petrol,Manual,2doors
305.0,Petrol,Manual,5doors
309.0,Petrol,Manual,2doors
310.0,Petrol,Manual,5doors
311.0,Petrol,Manual,5doors
313.0,Petrol,Manual,2doors
315.0,Petrol,Manual,5doors
316.0,Petrol,Manual,5doors
320.0,Petrol,Manual,5doors
321.0,Petrol,Manual,5doors
322.0,Petrol,Manual,5doors
324.0,Petrol,Manual,2doors
325.0,Petrol,Manual,5doors
327.0,Petrol,Manual,5doors
328.0,Petrol,Manual,2doors
329.0,Petrol,Manual,2doors
330.0,Petrol,Manual,5doors
331.0,Petrol,Automatic,5doors
332.0,Petrol,Manual,5doors
334.0,Petrol,Manual,2doors
336.0,Petrol,Manual,5doors
339.0,Petrol,Manual,2doors
340.0,Petrol,Manual,5doors
343.0,Petrol,Manual,2doors
344.0,Petrol,Manual,2doors
345.0,Petrol,Manual,5doors
347.0,Petrol,Manual,5doors
349.0,Petrol,Manual,2doors
350.0,Petrol,Manual,5doors
351.0,Petrol,Manual,5doors
352.0,Petrol,Manual,5doors
353.0,Petrol,Manual,2doors
355.0,Petrol,Manual,5doors
358.0,Petrol,Manual,2doors
359.0,Petrol,Manual,2doors
363.0,Petrol,Manual,2doors
364.0,Petrol,Manual,2doors
365.0,Petrol,Manual,5doors
368.0,Petrol,Manual,2doors
369.0,Petrol,Manual,2doors
371.0,Petrol,Manual,5doors
372.0,Petrol,Manual,5doors
373.0,Petrol,Manual,2doors
374.0,Petrol,Manual,2doors
375.0,Petrol,Manual,5doors
376.0,Petrol,Manual,5doors
377.0,Petrol,Manual,5doors
382.0,Diesel,Manual,5doors
384.0,,Manual,2doors
385.0,Diesel,Manual,5doors
386.0,Petrol,Manual,5doors
387.0,Diesel,Manual,5doors
388.0,CNG,Manual,2doors
390.0,Diesel,Manual,5doors
391.0,Diesel,Manual,5doors
392.0,Diesel,Manual,5doors
393.0,Petrol,Manual,2doors
395.0,Petrol,Manual,5doors
396.0,Petrol,Manual,5doors
401.0,Petrol,Manual,5doors
402.0,Diesel,Manual,5doors
403.0,Diesel,Manual,2doors
405.0,Petrol,Manual,5doors
406.0,Petrol,Manual,5doors
407.0,Diesel,Manual,5doors
408.0,Petrol,Manual,2doors
409.0,Petrol,Manual,2doors
412.0,Petrol,Manual,5doors
413.0,Diesel,Manual,2doors
415.0,Petrol,Manual,5doors
417.0,Diesel,Manual,5doors
422.0,Petrol,Manual,5doors
423.0,Diesel,Manual,2doors
424.0,Petrol,Manual,2doors
427.0,Petrol,Manual,5doors
428.0,Petrol,Manual,2doors
429.0,Petrol,Manual,2doors
432.0,Petrol,Manual,5doors
435.0,Petrol,Manual,5doors
436.0,Petrol,Manual,5doors
437.0,CNG,Manual,5doors
441.0,Petrol,Manual,5doors
443.0,Petrol,Manual,2doors
446.0,Petrol,Automatic,5doors
449.0,Petrol,Manual,2doors
450.0,Petrol,Manual,5doors
451.0,Petrol,Manual,5doors
457.0,Petrol,Manual,5doors
462.0,Petrol,Manual,5doors
463.0,Petrol,Manual,2doors
467.0,Petrol,Manual,5doors
468.0,Petrol,Manual,2doors
469.0,Petrol,Manual,2doors
470.0,Petrol,Manual,5doors
473.0,Petrol,Manual,2doors
476.0,Petrol,Manual,5doors
480.0,Petrol,Manual,5doors
482.0,Petrol,Manual,5doors
485.0,Petrol,Manual,5doors
486.0,Petrol,Manual,5doors
487.0,Petrol,Manual,5doors
491.0,Petrol,Manual,5doors
493.0,Petrol,Manual,2doors
496.0,Petrol,Manual,5doors
498.0,Petrol,Manual,2doors
500.0,Petrol,Manual,5doors
505.0,Petrol,Manual,5doors
507.0,Petrol,Manual,5doors
508.0,Petrol,Manual,2doors
509.0,Petrol,Manual,2doors
510.0,Petrol,Manual,5doors
511.0,Petrol,Manual,5doors
512.0,Petrol,Manual,5doors
516.0,Petrol,Manual,5doors
518.0,Petrol,Manual,2doors
519.0,Petrol,Manual,2doors
521.0,Petrol,Manual,5doors
522.0,Petrol,Manual,5doors
529.0,Petrol,Manual,2doors
533.0,Petrol,Manual,2doors
535.0,Petrol,Manual,5doors
536.0,Petrol,Manual,5doors
537.0,Petrol,Manual,5doors
538.0,Petrol,Manual,2doors
540.0,Petrol,Manual,5doors
544.0,Petrol,Manual,2doors
545.0,Petrol,Manual,5doors
546.0,Petrol,Manual,5doors
552.0,Petrol,Manual,5doors
553.0,Petrol,Manual,2doors
555.0,Petrol,Automatic,5doors
556.0,Petrol,Manual,5doors
557.0,Petrol,Manual,5doors
558.0,Petrol,Manual,2doors
559.0,Petrol,Manual,2doors
567.0,Petrol,Manual,5doors
568.0,Petrol,Manual,2doors
569.0,Petrol,Manual,2doors
571.0,Petrol,Automatic,5doors
575.0,Petrol,Manual,5doors
576.0,Petrol,Manual,5doors
577.0,Petrol,Manual,5doors
579.0,Petrol,Manual,2doors
583.0,Petrol,Manual,2doors
584.0,Petrol,Manual,2doors
591.0,Petrol,Manual,5doors
593.0,Petrol,Manual,2doors
599.0,Petrol,Manual,2doors
607.0,Diesel,Manual,5doors
611.0,Petrol,Manual,5doors
613.0,Diesel,Manual,2doors
615.0,Petrol,Manual,5doors
616.0,Diesel,Manual,5doors
617.0,Diesel,Manual,5doors
620.0,Diesel,Manual,5doors
624.0,Petrol,Manual,2doors
626.0,Diesel,Manual,5doors
627.0,Diesel,Manual,5doors
628.0,Diesel,Manual,2doors
631.0,Diesel,Manual,5doors
632.0,Diesel,Manual,5doors
633.0,Diesel,Manual,2doors
634.0,Petrol,Manual,2doors
636.0,Diesel,Manual,5doors
637.0,Diesel,Manual,5doors
638.0,Petrol,Manual,2doors
641.0,Petrol,Manual,5doors
644.0,Petrol,Manual,2doors
648.0,Diesel,Manual,2doors
649.0,Petrol,Manual,2doors
653.0,CNG,Manual,2doors
655.0,Diesel,Manual,5doors
657.0,Petrol,Manual,5doors
658.0,Petrol,Manual,2doors
662.0,Petrol,Manual,5doors
664.0,Petrol,Manual,2doors
666.0,Petrol,Manual,5doors
669.0,Petrol,Automatic,2doors
671.0,Petrol,Manual,5doors
672.0,Petrol,Manual,5doors
676.0,Petrol,Manual,5doors
677.0,Petrol,Manual,5doors
678.0,Petrol,Manual,2doors
679.0,Petrol,Manual,2doors
681.0,Petrol,Manual,5doors
684.0,Petrol,Manual,2doors
685.0,Petrol,Manual,5doors
686.0,Petrol,Manual,5doors
687.0,Petrol,Manual,5doors
689.0,Petrol,Manual,2doors
692.0,Petrol,Manual,5doors
697.0,Diesel,Manual,5doors
703.0,Petrol,Manual,2doors
705.0,Petrol,Manual,5doors
706.0,Petrol,Manual,5doors
713.0,Petrol,Manual,2doors
718.0,Petrol,Manual,2doors
720.0,Petrol,Manual,5doors
726.0,Petrol,Manual,5doors
728.0,Petrol,Manual,2doors
734.0,Petrol,Manual,2doors
735.0,Petrol,Manual,5doors
736.0,Petrol,Manual,5doors
737.0,Petrol,Manual,5doors
739.0,Petrol,Manual,2doors
742.0,Petrol,Manual,5doors
745.0,Petrol,Manual,5doors
750.0,Petrol,Manual,5doors
751.0,Petrol,Manual,5doors
756.0,Petrol,Manual,5doors
757.0,Petrol,Manual,5doors
759.0,Petrol,Manual,2doors
760.0,Petrol,Manual,5doors
764.0,Petrol,Manual,2doors
765.0,Petrol,Automatic,5doors
767.0,Petrol,Manual,5doors
768.0,Petrol,Manual,2doors
772.0,Petrol,Manual,5doors
773.0,Petrol,Automatic,2doors
779.0,Petrol,Manual,2doors
780.0,Petrol,Manual,5doors
782.0,Petrol,Manual,5doors
787.0,Petrol,Manual,5doors
789.0,Petrol,Manual,2doors
792.0,Petrol,Manual,5doors
793.0,Petrol,Manual,2doors
794.0,Petrol,Manual,2doors
795.0,Petrol,Manual,5doors
796.0,Petrol,Manual,5doors
800.0,Petrol,Manual,5doors
803.0,Petrol,Manual,2doors
805.0,Petrol,Manual,5doors
806.0,Petrol,Manual,5doors
813.0,Petrol,Manual,2doors
815.0,Petrol,Manual,5doors
817.0,Petrol,Manual,5doors
818.0,Petrol,Manual,2doors
819.0,Petrol,Manual,2doors
822.0,Petrol,Manual,5doors
826.0,Petrol,Manual,5doors
830.0,Petrol,Manual,5doors
831.0,Petrol,Manual,5doors
832.0,Petrol,Manual,5doors
833.0,Petrol,Manual,2doors
836.0,Petrol,Manual,5doors
837.0,Petrol,Manual,5doors
843.0,Petrol,Manual,2doors
847.0,Petrol,Manual,5doors
849.0,Petrol,Automatic,2doors
853.0,Petrol,Manual,2doors
856.0,Petrol,Manual,5doors
857.0,Petrol,Manual,5doors
858.0,,Manual,2doors
861.0,Petrol,Manual,5doors
862.0,Petrol,Manual,5doors
864.0,Petrol,Manual,2doors
866.0,Petrol,Manual,5doors
867.0,Diesel,Manual,5doors
868.0,Petrol,Automatic,2doors
871.0,Petrol,Manual,5doors
875.0,Petrol,Manual,5doors
876.0,Petrol,Manual,5doors
877.0,Petrol,Manual,5doors
884.0,Petrol,Manual,2doors
885.0,Petrol,Manual,5doors
887.0,Petrol,Manual,5doors
888.0,Petrol,Manual,2doors
891.0,Petrol,Manual,5doors
894.0,Petrol,Manual,2doors
899.0,Petrol,Manual,2doors
902.0,Petrol,Manual,5doors
903.0,Petrol,Manual,2doors
904.0,Petrol,Manual,2doors
908.0,Petrol,Manual,2doors
911.0,Petrol,Manual,5doors
916.0,Petrol,Manual,5doors
917.0,Petrol,Manual,5doors
918.0,Petrol,Automatic,2doors
919.0,Petrol,Manual,2doors
924.0,Petrol,Manual,2doors
928.0,Petrol,Manual,2doors
929.0,Petrol,Manual,2doors
931.0,Petrol,Manual,5doors
932.0,Petrol,Manual,5doors
933.0,Petrol,Automatic,2doors
935.0,Petrol,Manual,5doors
936.0,Petrol,Manual,5doors
937.0,Petrol,Manual,5doors
940.0,Petrol,Manual,5doors
942.0,Petrol,Manual,5doors
943.0,Petrol,Manual,2doors
945.0,Petrol,Manual,5doors
946.0,Petrol,Manual,5doors
956.0,Petrol,Manual,5doors
959.0,Petrol,Manual,2doors
961.0,Petrol,Manual,5doors
962.0,Petrol,Manual,5doors
963.0,Petrol,Manual,2doors
965.0,Petrol,Manual,5doors
968.0,Petrol,Manual,2doors
969.0,Petrol,Manual,2doors
971.0,Petrol,Manual,5doors
977.0,Petrol,Manual,5doors
980.0,Petrol,Manual,5doors
982.0,Petrol,Manual,5doors
983.0,Petrol,Manual,2doors
989.0,Petrol,Manual,2doors
990.0,Petrol,Manual,5doors
992.0,CNG,Automatic,5doors
993.0,Petrol,Manual,2doors
996.0,Petrol,Manual,5doors
997.0,,Manual,5doors
998.0,Petrol,Manual,2doors
1003.0,Petrol,Manual,2doors
1004.0,Petrol,Manual,2doors
1.0,Diesel,Manual,4doors
2.0,Diesel,Manual,3doors
3.0,Diesel,Manual,4doors
4.0,Diesel,Manual,3doors
5.0,Diesel,Manual,4doors
6.0,Diesel,Manual,3doors
7.0,Diesel,Manual,4doors
8.0,Diesel,Manual,3doors
9.0,Petrol,Manual,4doors
10.0,Diesel,Manual,3doors
11.0,Petrol,Manual,4doors
12.0,Petrol,Manual,3doors
13.0,Petrol,Manual,4doors
14.0,Petrol,Manual,3doors
15.0,Petrol,Manual,4doors
16.0,Petrol,Manual,3doors
17.0,Petrol,Manual,4doors
18.0,Petrol,Manual,3doors
19.0,Petrol,Manual,4doors
20.0,Petrol,Manual,3doors
21.0,Petrol,Manual,4doors
22.0,Petrol,Automatic,3doors
23.0,Petrol,Manual,4doors
24.0,Petrol,Manual,3doors
25.0,Petrol,Manual,4doors
26.0,Petrol,Manual,3doors
27.0,Petrol,Manual,4doors
28.0,Petrol,Manual,3doors
29.0,Petrol,Manual,4doors
30.0,Petrol,Manual,3doors
31.0,Petrol,Manual,4doors
32.0,Petrol,Manual,3doors
33.0,Petrol,Manual,4doors
34.0,Petrol,Manual,3doors
35.0,Petrol,Manual,4doors
36.0,Petrol,Manual,3doors
37.0,Petrol,Manual,4doors
38.0,Petrol,Manual,3doors
39.0,Petrol,Manual,4doors
40.0,Petrol,Manual,3doors
41.0,Petrol,Manual,4doors
42.0,Petrol,Manual,3doors
87.0,Petrol,Manual,4doors
88.0,Diesel,Manual,3doors
89.0,Petrol,Manual,4doors
90.0,Diesel,Manual,3doors
91.0,Petrol,Manual,4doors
92.0,Diesel,Manual,3doors
93.0,Diesel,Manual,4doors
94.0,Petrol,Manual,3doors
95.0,Petrol,Manual,4doors
96.0,Diesel,Manual,3doors
97.0,Petrol,Manual,4doors
98.0,Petrol,Manual,3doors
99.0,Petrol,Manual,4doors
100.0,Petrol,Manual,3doors
101.0,Petrol,Manual,4doors
102.0,Petrol,Manual,3doors
103.0,Petrol,Manual,4doors
104.0,Petrol,Manual,3doors
105.0,Petrol,Automatic,4doors
106.0,Petrol,Manual,3doors
107.0,Petrol,Manual,4doors
108.0,Petrol,Manual,3doors
117.0,Diesel,Manual,4doors
186.0,Petrol,Manual,3doors
189.0,Diesel,Manual,4doors
190.0,CNG,Manual,3doors
198.0,Diesel,Manual,3doors
201.0,Petrol,Manual,4doors
203.0,Petrol,Manual,4doors
205.0,Diesel,Manual,4doors
214.0,Petrol,Manual,3doors
216.0,Petrol,Manual,3doors
217.0,Diesel,Manual,4doors
218.0,Petrol,Manual,3doors
226.0,Petrol,Manual,3doors
230.0,Petrol,Manual,3doors
232.0,Petrol,Manual,3doors
233.0,Petrol,Manual,4doors
237.0,Petrol,Manual,4doors
241.0,Petrol,Manual,4doors
242.0,Petrol,Manual,3doors
243.0,Petrol,Manual,4doors
246.0,Petrol,Manual,3doors
257.0,Petrol,Manual,4doors
258.0,Petrol,Manual,3doors
260.0,Petrol,Manual,3doors
267.0,Petrol,Manual,4doors
269.0,Diesel,Manual,4doors
270.0,Petrol,Manual,3doors
272.0,Petrol,Manual,3doors
277.0,Petrol,Manual,4doors
279.0,Petrol,Manual,4doors
287.0,Petrol,Manual,4doors
290.0,Petrol,Manual,3doors
292.0,Petrol,Manual,3doors
295.0,Petrol,Manual,4doors
299.0,Petrol,Manual,4doors
301.0,Petrol,Manual,4doors
302.0,Petrol,Manual,3doors
303.0,Petrol,Manual,4doors
306.0,Petrol,Manual,3doors
307.0,Petrol,Manual,4doors
308.0,Petrol,Manual,3doors
312.0,Petrol,Manual,3doors
314.0,Petrol,Manual,3doors
317.0,Petrol,Manual,4doors
318.0,Petrol,Manual,3doors
323.0,Petrol,Automatic,4doors
326.0,Petrol,Manual,3doors
333.0,Petrol,Manual,4doors
335.0,Petrol,Manual,4doors
337.0,Petrol,Manual,4doors
338.0,Petrol,Manual,3doors
341.0,Petrol,Manual,4doors
342.0,Petrol,Automatic,3doors
346.0,Petrol,Manual,3doors
348.0,Petrol,Manual,3doors
354.0,Petrol,Manual,3doors
357.0,Petrol,Automatic,4doors
360.0,Petrol,Manual,3doors
361.0,Petrol,Manual,4doors
362.0,Petrol,Manual,3doors
366.0,Petrol,Manual,3doors
367.0,Petrol,Manual,4doors
378.0,Petrol,Manual,3doors
380.0,Diesel,Manual,3doors
383.0,Diesel,Manual,4doors
394.0,Diesel,Manual,3doors
397.0,Diesel,Manual,4doors
400.0,Petrol,Manual,3doors
404.0,Petrol,Manual,3doors
411.0,Petrol,Manual,4doors
414.0,Petrol,Manual,3doors
416.0,Petrol,Manual,3doors
418.0,Petrol,Manual,3doors
419.0,Diesel,Manual,4doors
420.0,Petrol,Manual,3doors
421.0,Petrol,Manual,4doors
425.0,Petrol,Manual,4doors
426.0,Petrol,Manual,3doors
430.0,Petrol,Manual,3doors
431.0,Petrol,Manual,4doors
433.0,Petrol,Manual,4doors
434.0,Petrol,Automatic,3doors
438.0,Petrol,Manual,3doors
444.0,Petrol,Manual,3doors
447.0,Petrol,Manual,4doors
448.0,Diesel,Manual,3doors
452.0,Petrol,Manual,3doors
453.0,Petrol,Manual,4doors
454.0,Petrol,Manual,3doors
455.0,Petrol,Automatic,4doors
458.0,Petrol,Manual,3doors
459.0,Diesel,Manual,4doors
460.0,Petrol,Manual,3doors
461.0,Petrol,Manual,4doors
465.0,Petrol,Manual,4doors
466.0,Diesel,Manual,3doors
471.0,Petrol,Manual,4doors
472.0,Petrol,Manual,3doors
474.0,Petrol,Manual,3doors
475.0,Petrol,Manual,4doors
478.0,Petrol,Manual,3doors
483.0,Petrol,Manual,4doors
484.0,Petrol,Manual,3doors
488.0,Diesel,Manual,3doors
492.0,Petrol,Manual,3doors
495.0,Petrol,Manual,4doors
497.0,Petrol,Manual,4doors
499.0,Petrol,Manual,4doors
502.0,Petrol,Manual,3doors
503.0,Petrol,Manual,4doors
504.0,Petrol,Manual,3doors
513.0,Petrol,Manual,4doors
514.0,Petrol,Manual,3doors
515.0,Petrol,Manual,4doors
517.0,Petrol,Manual,4doors
520.0,Petrol,Manual,3doors
523.0,Petrol,Manual,4doors
524.0,Petrol,Manual,3doors
525.0,Petrol,Manual,4doors
526.0,Petrol,Manual,3doors
527.0,Petrol,Manual,4doors
528.0,Petrol,Manual,3doors
530.0,Petrol,Manual,3doors
532.0,Petrol,Manual,3doors
534.0,Petrol,Manual,3doors
541.0,Petrol,Manual,4doors
543.0,Petrol,Manual,4doors
547.0,Petrol,Manual,4doors
548.0,Petrol,Manual,3doors
549.0,,Manual,4doors
550.0,Petrol,Manual,3doors
551.0,Petrol,Manual,4doors
554.0,Petrol,Manual,3doors
560.0,Petrol,Manual,3doors
561.0,Petrol,Manual,4doors
562.0,Petrol,Manual,3doors
563.0,Petrol,Manual,4doors
564.0,Petrol,Manual,3doors
565.0,Petrol,Manual,4doors
570.0,Petrol,Manual,3doors
572.0,Petrol,Manual,3doors
573.0,Petrol,Manual,4doors
574.0,Petrol,Manual,3doors
578.0,Petrol,Manual,3doors
580.0,Petrol,Manual,3doors
581.0,Petrol,Manual,4doors
582.0,Petrol,Manual,3doors
585.0,Petrol,Manual,4doors
586.0,Petrol,Automatic,3doors
587.0,Petrol,Manual,4doors
588.0,Petrol,Manual,3doors
589.0,Petrol,Manual,4doors
590.0,Petrol,Manual,3doors
592.0,Petrol,Manual,3doors
594.0,Petrol,Manual,3doors
595.0,Petrol,Manual,4doors
597.0,Petrol,Manual,4doors
598.0,Petrol,Manual,3doors
600.0,Petrol,Manual,3doors
601.0,Petrol,Automatic,4doors
602.0,Diesel,Manual,3doors
604.0,Diesel,Manual,3doors
606.0,Petrol,Manual,3doors
608.0,Diesel,Manual,3doors
610.0,Diesel,Manual,3doors
612.0,Petrol,Manual,3doors
614.0,Diesel,Manual,3doors
618.0,Diesel,Manual,3doors
619.0,CNG,Manual,4doors
621.0,Petrol,Manual,4doors
622.0,Diesel,Manual,3doors
623.0,,Manual,4doors
625.0,CNG,Manual,4doors
629.0,Diesel,Manual,4doors
635.0,Diesel,Manual,4doors
640.0,Diesel,Manual,3doors
643.0,Petrol,Manual,4doors
646.0,Petrol,Automatic,3doors
647.0,Petrol,Manual,4doors
651.0,CNG,Manual,4doors
652.0,Petrol,Manual,3doors
654.0,Petrol,Manual,3doors
656.0,Petrol,Manual,3doors
659.0,Petrol,Manual,4doors
661.0,Diesel,Manual,4doors
663.0,Petrol,Manual,4doors
665.0,Petrol,Manual,4doors
668.0,Petrol,Manual,3doors
670.0,,Manual,3doors
673.0,Petrol,Manual,4doors
674.0,Petrol,Manual,3doors
675.0,Petrol,Manual,4doors
680.0,Diesel,Manual,3doors
682.0,Petrol,Manual,3doors
683.0,Diesel,Manual,4doors
688.0,Petrol,Manual,3doors
691.0,Petrol,Manual,4doors
693.0,Petrol,Manual,4doors
695.0,Petrol,Manual,4doors
698.0,Petrol,Manual,3doors
699.0,Petrol,Manual,4doors
700.0,Petrol,Manual,3doors
701.0,Petrol,Manual,4doors
704.0,Petrol,Manual,3doors
708.0,Diesel,Manual,3doors
709.0,Petrol,Manual,4doors
710.0,Petrol,Manual,3doors
711.0,Diesel,Manual,4doors
712.0,Petrol,Manual,3doors
714.0,Petrol,Manual,3doors
715.0,Petrol,Manual,4doors
717.0,Petrol,Manual,4doors
719.0,Petrol,Manual,4doors
722.0,Petrol,Manual,3doors
723.0,Petrol,Manual,4doors
724.0,Petrol,Manual,3doors
725.0,Petrol,Manual,4doors
727.0,Petrol,Automatic,4doors
730.0,Petrol,Manual,3doors
731.0,Petrol,Manual,4doors
732.0,Petrol,Manual,3doors
738.0,Petrol,Manual,3doors
740.0,Petrol,Automatic,3doors
741.0,Petrol,Manual,4doors
743.0,Petrol,Manual,4doors
744.0,Petrol,Manual,3doors
746.0,Petrol,Manual,3doors
747.0,Petrol,Manual,4doors
749.0,Petrol,Manual,4doors
753.0,Petrol,Manual,4doors
754.0,Petrol,Manual,3doors
755.0,Petrol,Manual,4doors
763.0,Petrol,Manual,4doors
766.0,Petrol,Manual,3doors
769.0,,Manual,4doors
770.0,Petrol,Manual,3doors
771.0,Petrol,Manual,4doors
775.0,Petrol,Manual,4doors
776.0,Petrol,Manual,3doors
777.0,Petrol,Manual,4doors
778.0,Petrol,Manual,3doors
781.0,Petrol,Manual,4doors
784.0,Petrol,Manual,3doors
785.0,Petrol,Manual,4doors
786.0,Diesel,Manual,3doors
788.0,Petrol,Manual,3doors
790.0,Petrol,Manual,3doors
791.0,Petrol,Automatic,4doors
797.0,Petrol,Manual,4doors
798.0,Petrol,Manual,3doors
799.0,Petrol,Manual,4doors
801.0,Petrol,Manual,4doors
802.0,Petrol,Manual,3doors
804.0,Petrol,Manual,3doors
807.0,Petrol,Manual,4doors
808.0,Petrol,Manual,3doors
809.0,Petrol,Manual,4doors
